Decatur,,,,,,,,,,,,
January 2016 - December 2016,,,,,,,,,,,,
Report Date: 11/21/2019 14:37 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,Achille Foster,160700778,5,1124993.02,1024458.49,100534.53,436204,335669.46,100534.54,30160.52,25133.79,5026.73
Decatur,"ANC Rainbow, Inc.",120710858,5,3653137.59,3349442.15,303695.44,1236279,932583.52,303695.48,91109.01,75924.19,15184.82
Decatur,Applezaks Incorporated,140700107,5,3063038.29,2813411.33,249626.96,991391,741763.95,249627.05,74888.58,62407.17,12481.41
Decatur,"AUNT BETTY'S BARBEQUE & SPIRITS, LLC",150703124,5,5120543.41,4730658.89,389884.52,1761997,1372112.3,389884.7,116966.06,97471.74,19494.32
Decatur,BBJT Gaming LLC,160700825,5,4057662.42,3737264.68,320397.74,1363386,1042988.26,320397.74,96119.8,80099.84,16019.96
Decatur,"Benny's Grill of Decatur, Inc.",130701412,5,3212277.9,2972041.62,240236.28,1048092,807855.72,240236.28,72071.12,60059.29,12011.83
Decatur,"Bigler's Curve, Inc.",120708323,5,5020489.33,4604345.73,416143.6,1532312,1116168.15,416143.85,124843.7,104036.43,20807.27
Decatur,"Bink, Inc.",120700343,5,5736655.86,5285265.99,451389.87,1955315,1503925.18,451389.82,135417.49,112847.95,22569.54
Decatur,Bowler 299 Inc.,120704521,5,4031943.91,3716012.19,315931.72,1395833,1079901.28,315931.72,94779.97,78983.33,15796.64
Decatur,"Buki & Lou Limani, Inc.",160700026,5,2568843.64,2359063.31,209780.33,857664,647883.6,209780.4,62934.47,52445.4,10489.07
Decatur,BURL ENTERPRIZES INC.,120707132,3,1587075.73,1454627.71,132448.02,522574,390125.98,132448.02,39734.6,33112.18,6622.42
Decatur,Captains Palace Inc.,150704233,5,2349195.89,2137604.95,211590.94,903483,691892.06,211590.94,63477.7,52898.11,10579.59
Decatur,"Castle Williams Post No. 105, The American Legion",120908458,4,920483.28,853421.91,67061.37,276361,209299.47,67061.53,20118.93,16765.81,3353.12
Decatur,Central Illinois Gaming Inc.,160700119,5,1910385.54,1760963.99,149421.55,637498,488076.45,149421.55,44826.73,37355.62,7471.11
Decatur,"CHAMPAIGN RENTALS, LLC",150700722,5,4644945.94,4284666.82,360279.12,1675592,1315312.73,360279.27,108084.18,90070.17,18014.01
Decatur,Columbus Club of Decatur,120709294,5,2200975.63,2033361.18,167614.45,721367,553752.84,167614.16,50284.92,41904.12,8380.8
Decatur,"Dale & Jackie's Discount Liquors, Inc.",120707316,5,4985220.01,4564850.65,420369.36,1707984,1287614.91,420369.09,126111.44,105092.9,21018.54
Decatur,"DC HOLDINGS, LLC",150703820,5,4783394.82,4407497.2,375897.62,1506866,1130968.38,375897.62,112769.7,93974.77,18794.93
Decatur,"Decatur Eleventh Frame Lounge, Inc.",120707303,5,5041765.63,4649397.94,392367.69,1721208,1328840.3,392367.7,117710.88,98092.4,19618.48
Decatur,DECATUR LODGE #684 LOYAL ORDER OF MOOSE INC.,120807140,4,994088.28,918718.25,75370.03,286776,211361.33,75414.67,22624.77,18854,3770.77
Decatur,Decatur R.C.E. Inc. ,120701460,5,2011756.31,1845031.41,166724.9,642453,475728.24,166724.76,50018.01,41681.68,8336.33
Decatur,"Donnie's Homespun Pizza, Inc.",130705253,2,87620.8,80133.5,7487.3,35286,27798.7,7487.3,2246.27,1871.9,374.37
Decatur,Dos Alacranes Inc.,150704186,5,761891.29,688862.36,73028.93,265577,192547.91,73029.09,21909.26,18257.74,3651.52
Decatur,Elmer's Ole Time Inn Corp.,160702288,4,166432.16,156141.85,10290.31,48629,38338.69,10290.31,3087.16,2572.63,514.53
Decatur,"ELMER'S TAVERN, INC.",120707311,5,6025398.88,5554368.01,471030.87,1983677,1512646.03,471030.97,141309.76,117758.16,23551.6
Decatur,"Fraternal Order of Eagles, Decatur Aerie # 507",150802918,3,687033.92,637986.33,49047.59,201253,152205.4,49047.6,14714.54,12262.14,2452.4
Decatur,Happywood Inc.,120704532,5,4526042.11,4177764.84,348277.27,1533397,1185120.03,348276.97,104483.72,87069.78,17413.94
Decatur,Heather Cox,150702073,5,2920191.04,2662515.53,257675.51,926469,668793.49,257675.51,77303.32,64419.44,12883.88
Decatur,"Il Forno, Inc.",130700199,5,1789587.95,1638511.16,151076.79,576324,425247.19,151076.81,45323.3,37769.46,7553.84
Decatur,"INDUSTRIAL WORKERS BUILDING ASSOCIATION, INC.",120705011,5,414377.43,379988.81,34388.62,134769,100381.12,34387.88,10316.54,8597.12,1719.42
Decatur,"ISLAMOSKI & FAMILY, LLC",160700117,5,4710924.73,4261270.03,449654.7,1472583,1022923.3,449659.7,134898.42,112415.35,22483.07
Decatur,"J&M Family, Fun & Food, Inc.",130702614,5,8056790.3,7480740.08,576050.22,2566517,1990466.68,576050.32,172815.41,144012.86,28802.55
Decatur,"Just One More, Inc.",120702093,5,5452340.62,5023278.95,429061.67,1707685,1278622.67,429062.33,128719.38,107266.18,21453.2
Decatur,"KBL & K, Inc.",120706645,5,709156.76,647311.2,61845.56,267453,205607.44,61845.56,18554.03,15461.7,3092.33
Decatur,KENJO INC.,120711381,5,2273455.87,2091125.97,182329.9,774673,592343.14,182329.86,54699.5,45582.93,9116.57
Decatur,LACEY'S PLACE LLC,150702345,5,5742684.15,5262649.9,480034.25,1850793,1370758.75,480034.25,144010.65,120008.93,24001.72
Decatur,"Lakeview Hospitality, LLC",120709882,3,649893.42,584338.94,65554.48,217710,152137.2,65572.8,19672.28,16393.57,3278.71
Decatur,"LEA STUKINS, INC.",150702370,3,392607.51,355599,37008.51,147504,110495.59,37008.41,11102.74,9252.31,1850.43
Decatur,"Lincoln Square Tavern, Inc.",120706445,5,2650082.28,2444559.43,205522.85,879614,674091.16,205522.84,61657.43,51381.19,10276.24
Decatur,"Locals 101 Bar & Grille, Inc.",150704325,5,220892.73,201777.26,19115.47,85782,66666.53,19115.47,5734.81,4779.02,955.79
Decatur,Los Sauces Bar & Grill Incorporated,150703736,3,330234.09,294890.92,35343.17,113655,78311.83,35343.17,10603.16,8835.98,1767.18
Decatur,"LSB One, Inc.",120711243,5,1909373.71,1751099.99,158273.72,694364,536090.53,158273.47,47482.54,39568.81,7913.73
Decatur,"LUCKY ME, LLC",160702474,5,499845.18,467743.27,32101.91,161895,129793.09,32101.91,9630.67,8025.56,1605.11
Decatur,"LUNA NUEVA, INC.",150703362,5,4605470.7,4259053.29,346417.41,1363985,1017567.59,346417.41,103925.66,86604.76,17320.9
Decatur,"MAIN OAK CAFE, L.L.C.",150702371,4,996158.41,921173.25,74985.16,356432,281446.84,74985.16,22495.96,18746.65,3749.31
Decatur,"Main Street Video Gaming, Inc.",160701077,5,3591601.33,3309422.06,282179.27,1159700,877520.73,282179.27,84654.21,70545.17,14109.04
Decatur,MALA LLC,130705805,5,7342741.33,6826796.86,515944.47,2552765,2036820.39,515944.61,154783.86,128986.58,25797.28
Decatur,MALA LLC,150702070,5,5054199.8,4686951.77,367248.03,1604811,1237562.97,367248.03,110174.85,91812.38,18362.47
Decatur,"Meisenhelter, Inc.",120711242,4,9853.46,8661.31,1192.15,3997,2804.85,1192.15,357.66,298.05,59.61
Decatur,MISS KIMMEES LLC,160701008,5,4271634.95,3914722.31,356912.64,1295508,938595.36,356912.64,107074.18,89228.48,17845.7
Decatur,"Mutti's, Inc.",140703569,3,643571.38,591490.6,52080.78,239190,187109.07,52080.93,15624.75,13020.61,2604.14
Decatur,"Nash Entertainment Inc.,",160701534,4,231363.54,213242.95,18120.59,98001,79880.27,18120.73,5436.35,4530.29,906.06
Decatur,"NELLIE'S LOUNGE, INC.",140704418,5,3192929.54,2956554.4,236375.14,1018709,782333.86,236375.14,70913.14,59094.31,11818.83
Decatur,NJ's Place Inc,120707318,5,2168383.54,1976077.52,192306.02,986358,794052.41,192305.59,57692.31,48076.93,9615.38
Decatur,"NOAH'S AND ASSOCIATES, LLC",150702710,2,148639.85,132508.32,16131.53,52986,36854.32,16131.68,4839.68,4033.12,806.56
Decatur,"OREN L. DAVIS POST NO. 99, VETERANS OF FOREIGN WARS OF THE UNITED STATES, I",120906995,2,483413.93,445855.36,37558.57,167843,130284.43,37558.57,11267.58,9389.65,1877.93
Decatur,"Oren L. Davis Post No. 99, Veterans of Foreign Wars of the United States, Inc.",160901275,4,835684.99,778706.23,56978.76,297501,240522.24,56978.76,17093.78,14244.82,2848.96
Decatur,"Pearl's Entertainment Group, LLC",160703385,5,60849.11,55402.61,5446.5,22685,17238.5,5446.5,1633.95,1361.63,272.32
Decatur,Pershing Restaurants Inc.,120711484,5,2779463.72,2546363.59,233100.13,889946,656841.57,233104.43,69931.78,58276.5,11655.28
Decatur,Pilot Travel Centers LLC,121009166,5,11075272.69,10189074.39,886198.3,3330428,2443988.84,886439.16,265932.48,221610.41,44322.07
Decatur,"SOILL Restaurant Systems, LLC",140701440,5,8557007.18,7927064.2,629942.98,2499887,1869944.02,629942.98,188983.36,157486.15,31497.21
Decatur,"SOILL Restaurant Systems, LLC",140703929,5,9992037.92,9197268.28,794769.64,3029377,2234607.36,794769.64,238431.53,198692.97,39738.56
Decatur,"SOILL Restaurant Systems, LLC",160700128,5,4786537.96,4451999.15,334538.81,1547091,1212551.93,334539.07,100362.35,83635.33,16727.02
Decatur,South Side Country Club,120711231,3,4767.41,4776.74,-9.33,1938,1947.33,-9.33,-2.79,-2.33,-0.46
Decatur,SRKW Inc.,120706388,5,1644266.82,1510934.91,133331.91,519122,385790.09,133331.91,40000.13,33333.46,6666.67
Decatur,STAFF INCORPORATED,130705892,3,1136505.29,1051556.82,84948.47,373058,288109.53,84948.47,25484.66,21237.23,4247.43
Decatur,"Starship Partners, Inc.",120701319,5,3143264.38,2874591.75,268672.63,1051278,782605.37,268672.63,80602.22,67168.54,13433.68
Decatur,"Sundown Lounge, Inc.",120704883,5,4791627.21,4374791.17,416836.04,1514097,1097260.81,416836.19,125051.52,104209.61,20841.91
Decatur,T&G GAMING LLC,150702672,5,8167170.86,7564943.07,602227.79,2328777,1726549.21,602227.79,180668.84,150557.38,30111.46
Decatur,T&G GAMING LLC,150702680,5,2754168.34,2523065.58,231102.76,975096,743993.24,231102.76,69331.75,57776.5,11555.25
Decatur,T&G GAMING LLC,150702685,5,7868728.52,7268077.03,600651.49,2295255,1694603.61,600651.39,180196.1,150163.45,30032.65
Decatur,T&G GAMING LLC,160701447,5,1670257.73,1543375.02,126882.71,539526,412643.29,126882.71,38065.14,31720.95,6344.19
Decatur,T&G Gaming LLC,160702672,5,31282.61,29350.43,1932.18,11723,9790.82,1932.18,579.66,483.05,96.61
Decatur,THE GARDEN FAMILY RESTAURANT LLP,150702416,5,2001751.61,1825947.48,175804.13,675719,499914.82,175804.18,52741.85,43951.56,8790.29
Decatur,Timbuktu Saloon Inc.,150704284,5,2375188.37,2198592.72,176595.65,783139,606543.35,176595.65,52979.12,44149.28,8829.84
Decatur,"TMEE ENTERPRISES, INC.",160700576,4,179119.22,167672.88,11446.34,71228,59781.53,11446.47,3434.03,2861.7,572.33
Decatur,"Tony Hsiao's, Inc.",130705821,5,2495369.25,2293784.93,201584.32,742984,541399.68,201584.32,60475.97,50396.65,10079.32
Decatur,"Trident Partners Decatur Airport Plaza, LLC",140702535,5,9523870.1,8758601.68,765268.42,2875868,2110595.73,765272.27,229582.21,191318.51,38263.7
Decatur,"Trident Partners Decatur Brettwood Village, LLC",140702537,5,9948937,9208103.59,740833.41,3086386,2345552.59,740833.41,222250.45,185208.73,37041.72
Decatur,"Trident Partners Decatur Crossings, LLC",140703997,5,7701975.67,7090770.85,611204.82,2326887,1715682.18,611204.82,183361.75,152801.48,30560.27
Decatur,"Van Dyke Video Gaming, Inc",150703967,5,4895167.73,4521909.93,373257.8,1655095,1281785.32,373309.68,111993.54,93327.97,18665.57
Decatur,"Variety Liquors, Inc.",120708465,5,5334676.51,4925884.21,408792.3,1708900,1300107.7,408792.3,122638.39,102198.68,20439.71
Decatur,"Ware Brands, Inc. ",150700089,5,9062801.53,8238684.68,824116.85,2855360,2031243.05,824116.95,247235.61,206029.68,41205.93
Decatur,"Whit's of Decatur, Inc.",120711444,5,3349462.01,3079698.44,269763.57,1030100,760336.48,269763.52,80929.7,67441.43,13488.27
Decatur,Wild Dog Saloon Incorporated,120705737,5,2952912.87,2736226.52,216686.35,942339,725652.83,216686.17,65006.42,54172.04,10834.38
Decatur,"Winery One, Inc.",120711244,5,3434066.28,3156314.79,277751.49,1135770,858018.48,277751.52,83326.03,69438.37,13887.66
Decatur,Zejna Islamoski & Lavdrime Islamoski ,120707211,5,3660820.07,3353095.99,307724.08,1277685,969960.92,307724.08,92317.7,76931.41,15386.29
